Label,CenterX,CenterY,Width,Height,Range,Pattern,Priority
1,0.715389,0.897182,0.017825,0.114728,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0,0.050654,0.120277,0.010398,0.062352,2022-01-03/2022-01-04/2022-01-05,,1
1,0.474005,0.787442,0.010398,0.119716,2022-06-22/2022-06-23/2022-06-24,,2
0,0.533422,0.603504,0.040107,0.118469,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,2
1,0.111928,0.472565,0.014112,0.16835,2022-01-25/2022-01-26/2022-01-27/2022-01-28,BearishEngulfing/Hammer/BullishDoji,3
0,0.282754,0.329156,0.021539,0.093528,2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11/2022-04-12,,3
1,0.175059,0.391508,0.014112,0.105998,2022-02-22/2022-02-23/2022-02-24/2022-02-25,BullishHarami,4
0,0.228907,0.179511,0.010398,0.268113,2022-03-17/2022-03-18/2022-03-21,BearishEngulfing,4
1,0.364453,0.485036,0.021539,0.143409,2022-05-06/2022-05-09/2022-05-10/2022-05-11/2022-05-12/2022-05-13,,4
0,0.27904,0.307333,0.021539,0.062352,2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11,,4
1,0.496286,0.766866,0.017825,0.078563,2022-06-29/2022-06-30/2022-07-01/2022-07-04/2022-07-05,,4
0,0.611408,0.650268,0.017825,0.062352,2022-08-11/2022-08-12/2022-08-16/2022-08-17/2022-08-18,,4
1,0.863933,0.834206,0.03268,0.073575,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0,0.137923,0.341626,0.014112,0.193291,2022-02-08/2022-02-09/2022-02-10/2022-02-11,,5
1,0.284611,0.332273,0.03268,0.112233,2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11/2022-04-12/2022-04-13/2022-04-14,,5
0,0.347742,0.407096,0.017825,0.087293,2022-04-29/2022-05-02/2022-05-03/2022-05-04/2022-05-06,,5
1,0.648544,0.710126,0.017825,0.069834,2022-08-26/2022-08-29/2022-08-30/2022-08-31/2022-09-01,,5
0,0.665256,0.76749,0.014112,0.072328,2022-09-02/2022-09-05/2022-09-06/2022-09-07,,5
1,0.778521,0.837324,0.010398,0.049881,2022-10-21/2022-10-24/2022-10-25,,5
0,0.837938,0.791807,0.017825,0.061105,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,5
1,0.904783,0.792431,0.010398,0.044893,2022-12-08/2022-12-09/2022-12-12,,5
